iter	Passed	Remaining
0	47	47546
1	48	24155
2	49	16317
3	55	13755
4	55	11099
5	56	9321
6	66	9453
7	67	8351
8	68	7495
9	73	7259
10	75	6756
11	77	6372
12	77	5915
13	81	5760
14	82	5407
15	85	5228
16	86	5012
17	87	4758
18	87	4530
19	88	4321
20	88	4133
21	89	3971
22	95	4043
23	97	3945
24	99	3861
25	100	3781
26	102	3704
27	104	3625
28	105	3536
29	106	3452
30	108	3387
31	109	3307
32	110	3238
33	111	3171
34	112	3109
35	113	3047
36	114	2988
37	116	2938
38	117	2886
39	118	2835
40	119	2791
41	120	2745
42	121	2702
43	122	2660
44	123	2620
45	124	2585
46	125	2548
47	126	2512
48	127	2479
49	128	2447
50	129	2405
51	130	2386
52	132	2359
53	133	2331
54	135	2332
55	136	2296
56	136	2261
57	137	2227
58	137	2195
59	138	2163
60	138	2135
61	139	2105
62	139	2076
63	140	2048
64	140	2020
65	140	1994
66	141	1970
67	141	1946
68	142	1921
69	142	1898
70	143	1883
71	144	1861
72	144	1839
73	145	1817
74	146	1800
75	146	1780
76	146	1761
77	147	1742
78	147	1724
79	148	1709
80	149	1692
81	149	1674
82	149	1654
83	150	1638
84	150	1622
85	151	1606
86	151	1591
87	152	1576
88	152	1562
89	153	1547
90	153	1533
91	153	1519
92	154	1506
93	154	1493
94	155	1479
95	155	1467
96	156	1454
97	156	1442
98	157	1429
99	157	1418
100	157	1406
101	158	1395
102	159	1388
103	159	1377
104	160	1366
105	160	1355
106	161	1345
107	161	1335
108	162	1325
109	162	1314
110	163	1306
111	163	1296
112	164	1287
113	164	1280
114	165	1271
115	165	1262
116	166	1253
117	166	1244
118	166	1235
119	167	1228
120	167	1220
121	168	1211
122	168	1203
123	169	1195
124	169	1188
125	170	1180
126	170	1171
127	170	1164
128	171	1157
129	171	1150
130	172	1142
131	172	1135
132	173	1128
133	173	1122
134	174	1115
135	174	1109
136	175	1102
137	175	1096
138	175	1089
139	176	1083
140	176	1077
141	177	1070
142	177	1063
143	177	1057
144	178	1051
145	178	1045
146	179	1039
147	179	1034
148	180	1028
149	180	1023
150	180	1017
151	181	1011
152	181	1006
153	182	1001
154	182	995
155	183	990
156	183	985
157	183	980
158	184	974
159	184	969
160	184	963
161	185	959
162	185	954
163	186	949
164	186	944
165	187	939
166	187	934
167	188	931
168	188	926
169	188	922
170	189	918
171	189	913
172	190	909
173	190	905
174	191	900
175	191	896
176	191	892
177	192	890
178	193	886
179	193	882
180	194	878
181	194	874
182	194	870
183	195	866
184	195	862
185	196	858
186	196	854
187	197	850
188	197	847
189	197	843
190	198	839
191	198	836
192	199	832
193	199	828
194	199	825
195	200	821
196	200	818
197	201	814
198	201	811
199	202	808
200	202	804
201	202	801
202	203	798
203	203	794
204	204	791
205	204	788
206	204	785
207	205	782
208	205	778
209	206	775
210	206	772
211	207	769
212	207	766
213	207	763
214	208	760
215	208	757
216	209	754
217	209	751
218	210	749
219	210	745
220	210	743
221	211	740
222	211	737
223	211	734
224	212	731
225	212	728
226	213	725
227	213	723
228	213	720
229	214	717
230	214	714
231	215	712
232	215	709
233	215	706
234	216	703
235	216	701
236	216	698
237	217	695
238	217	693
239	218	690
240	218	687
241	218	685
242	219	682
243	219	680
244	220	678
245	220	675
246	220	673
247	221	670
248	221	668
249	221	665
250	222	663
251	222	661
252	223	659
253	223	656
254	224	654
255	224	652
256	224	649
257	225	647
258	225	645
259	225	642
260	226	640
261	226	638
262	227	636
263	227	634
264	227	632
265	228	630
266	228	627
267	229	625
268	230	626
269	231	624
270	231	622
271	231	620
272	232	618
273	232	616
274	233	614
275	233	612
276	234	610
277	234	608
278	234	606
279	235	604
280	235	602
281	235	600
282	236	598
283	236	596
284	236	593
285	236	591
286	237	589
287	237	587
288	237	585
289	238	582
290	238	580
291	238	578
292	238	576
293	239	574
294	239	572
295	239	570
296	240	568
297	240	566
298	240	564
299	240	562
300	241	560
301	241	558
302	241	556
303	242	554
304	242	552
305	242	550
306	242	548
307	243	546
308	243	544
309	243	542
310	244	540
311	244	538
312	244	536
313	244	534
314	245	533
315	245	531
316	245	529
317	245	527
318	246	525
319	246	523
320	246	522
321	247	520
322	247	518
323	247	516
324	247	514
325	248	513
326	248	512
327	249	510
328	249	509
329	250	507
330	250	506
331	250	504
332	251	503
333	251	502
334	252	500
335	252	499
336	252	497
337	253	495
338	253	494
339	254	493
340	254	491
341	254	490
342	255	488
343	255	487
344	255	485
345	256	484
346	256	483
347	257	481
348	257	480
349	257	478
350	258	477
351	258	476
352	258	474
353	259	473
354	259	471
355	260	470
356	260	469
357	260	467
358	261	466
359	261	464
360	261	463
