iter	Passed	Remaining
0	2	243
1	4	224
2	6	221
3	8	215
4	11	213
5	13	210
6	15	207
7	17	205
8	19	201
9	22	198
10	24	196
11	26	194
12	28	193
13	31	191
14	33	190
15	35	188
16	38	186
17	40	186
18	43	184
19	45	181
20	47	179
21	49	176
22	51	173
23	54	171
24	56	169
25	58	167
26	60	164
27	63	162
28	65	159
29	67	157
30	69	154
31	71	152
32	73	149
33	75	147
34	77	144
35	79	141
36	81	138
37	82	134
38	83	130
39	84	127
40	86	123
41	87	120
42	88	117
43	88	113
44	89	109
45	90	106
46	91	103
47	92	100
48	93	97
49	94	94
50	95	91
51	96	88
52	98	87
53	98	84
54	99	81
55	100	78
56	101	76
57	102	73
58	102	71
59	103	68
60	103	66
61	104	64
62	105	61
63	105	59
64	106	57
65	106	55
66	107	52
67	108	50
68	108	48
69	109	46
70	110	44
71	110	43
72	111	41
73	111	39
74	112	37
75	112	35
76	113	33
77	113	32
78	113	30
79	114	28
80	114	26
81	115	25
82	115	23
83	116	22
84	116	20
85	117	19
86	117	17
87	118	16
88	118	14
89	119	13
90	119	11
91	120	10
92	120	9
93	121	7
94	121	6
95	121	5
96	122	3
97	122	2
98	123	1
99	123	0
